seed,test_idx,RePaint_r10_rmse,RePaint_r10_mag_err,RePaint_r10_angle_err_deg,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_mag_err,RePaint_r1_angle_err_deg,RePaint_r1_time,DPS_z0.04_rmse,DPS_z0.04_mag_err,DPS_z0.04_angle_err_deg,DPS_z0.04_time
217,217,0.23658819496631622,0.11007525026798248,79.47843933105469,4.2830387419089675,0.4665728509426117,0.2576473355293274,129.58001708984375,0.40520258247852325,0.18241365253925323,0.08227527886629105,114.67752838134766,1.5744126085191965
224,224,0.368549644947052,0.23918232321739197,112.22752380371094,4.263439401984215,0.1359507292509079,0.05439770966768265,99.14722442626953,0.418103308416903,0.17370347678661346,0.0839216485619545,83.28919982910156,1.603648867458105
231,231,0.15651832520961761,0.09510204195976257,42.002254486083984,4.279459547251463,0.1291155070066452,0.06552106887102127,32.69411087036133,0.4162024324759841,0.16783292591571808,0.10178938508033752,46.766746520996094,1.5847949590533972
238,238,0.339796781539917,0.2404240071773529,58.862060546875,4.39706707932055,0.25781306624412537,0.16553789377212524,67.9325942993164,0.40625582728534937,0.15285366773605347,0.10255195945501328,70.325927734375,1.5643898518756032
245,245,0.1653919368982315,0.11160266399383545,44.806034088134766,4.410105503164232,0.14957042038440704,0.06956152617931366,58.70528793334961,0.41072510182857513,0.13558991253376007,0.06684413552284241,56.754058837890625,1.5851260852068663
252,252,0.23125027120113373,0.09395678341388702,75.57562255859375,4.386671089567244,0.30490460991859436,0.15920338034629822,72.03807830810547,0.4059723811224103,0.17283464968204498,0.048970673233270645,81.20816802978516,1.5814131684601307
259,259,0.11232789605855942,0.07589556276798248,47.59798812866211,4.399075968191028,0.19199708104133606,0.10899440944194794,99.41512298583984,0.40977473743259907,0.08925960958003998,0.04097358137369156,67.29377746582031,1.607274211011827
266,266,0.14269809424877167,0.08645416051149368,43.010353088378906,4.350873067043722,0.2801520824432373,0.20452183485031128,53.25301742553711,0.416213002987206,0.1867416799068451,0.11989204585552216,46.07584762573242,1.6479095732793212
273,273,0.14853988587856293,0.08777035772800446,44.46571350097656,4.424246438778937,0.2640746533870697,0.18939773738384247,51.75436019897461,0.41802189871668816,0.16789211332798004,0.12066958844661713,35.24178695678711,1.4893330186605453
280,280,0.2319011688232422,0.15356551110744476,70.78250885009766,4.357585672289133,0.22194629907608032,0.1431475132703781,72.96749877929688,0.40259447507560253,0.2501884400844574,0.17746798694133759,57.417457580566406,1.6094975136220455
287,287,0.15257619321346283,0.06413836032152176,85.06472778320312,4.432498787529767,0.1055033877491951,0.05563706159591675,58.05399703979492,0.4143964946269989,0.08635098487138748,0.04534327983856201,60.02436065673828,1.6855951761826873
294,294,0.4278656542301178,0.316723495721817,60.18365478515625,4.398397441953421,0.18860918283462524,0.126612588763237,53.15047836303711,0.4299175562337041,0.13973160088062286,0.06613614410161972,58.826778411865234,1.592714324593544
301,301,0.14362356066703796,0.07130880653858185,52.59730911254883,4.382062039338052,0.12570993602275848,0.05558319017291069,56.34370040893555,0.44152595195919275,0.14762160181999207,0.0905311107635498,40.81741714477539,1.6497290078550577
308,308,0.20840473473072052,0.07932868599891663,78.69041442871094,4.286238958127797,0.22278407216072083,0.14678606390953064,79.22196960449219,0.40638015419244766,0.07383757829666138,0.04517137631773949,29.07795524597168,1.6284297266975045
315,315,0.25067955255508423,0.1315286010503769,68.49226379394531,4.435661803930998,0.19191962480545044,0.11431354284286499,50.77861785888672,0.4121301509439945,0.1894153207540512,0.1548844575881958,32.50619125366211,1.5769108040258288
322,322,0.17471155524253845,0.09968312084674835,61.617645263671875,4.220424515195191,0.24735112488269806,0.1636645346879959,77.3266372680664,0.39112502709031105,0.17078550159931183,0.10155852138996124,70.87522888183594,1.598740148358047
329,329,0.16487739980220795,0.10780023783445358,60.19688415527344,4.312970485538244,0.39421820640563965,0.23618385195732117,69.09857177734375,0.40441535878926516,0.20481640100479126,0.12212040275335312,63.235801696777344,1.6084519866853952
336,336,0.2903444170951843,0.1381712108850479,106.75936126708984,4.353270024992526,0.235103577375412,0.08492934703826904,127.12598419189453,0.4065065383911133,0.24599869549274445,0.08688900619745255,126.82714080810547,1.62272441200912
343,343,0.4505261182785034,0.20693029463291168,101.06065368652344,4.3290063589811325,0.3137969970703125,0.11317452043294907,110.1290054321289,0.39812968112528324,0.11413709819316864,0.0540645532310009,55.13019561767578,1.5964186899363995
