seed,test_idx,RePaint_r10_rmse,RePaint_r10_mag_err,RePaint_r10_angle_err_deg,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_mag_err,RePaint_r1_angle_err_deg,RePaint_r1_time,DPS_z0.04_(latent)_rmse,DPS_z0.04_(latent)_mag_err,DPS_z0.04_(latent)_angle_err_deg,DPS_z0.04_(latent)_time,DPS_z0.04_(decode)_rmse,DPS_z0.04_(decode)_mag_err,DPS_z0.04_(decode)_angle_err_deg,DPS_z0.04_(decode)_time
140,140,0.2417687028646469,0.09753702580928802,87.8883285522461,4.372405202127993,0.19741052389144897,0.10953892767429352,64.61731719970703,0.41141604725271463,0.13989903032779694,0.10112663358449936,51.84038162231445,1.7512069586664438,0.14612972736358643,0.07602151483297348,44.134521484375,2.2798192920163274
147,147,0.2676548957824707,0.09292630851268768,98.57996368408203,4.384743835777044,0.17720194160938263,0.08815238624811172,100.12956237792969,0.41808061860501766,0.37799131870269775,0.15772242844104767,111.76856231689453,1.7433924218639731,0.19378550350666046,0.07694535702466965,96.99828338623047,2.2771654902026057
154,154,0.4070505201816559,0.3053862154483795,60.98384475708008,4.332612940110266,0.13675981760025024,0.08679287135601044,51.669403076171875,0.4174513453617692,0.18779730796813965,0.10958147794008255,59.13920211791992,1.73205547593534,0.13398872315883636,0.07353329658508301,59.71396255493164,2.267301457002759
161,161,0.17962443828582764,0.08643614500761032,108.88287353515625,4.392881314270198,0.16080881655216217,0.07037728279829025,109.16493225097656,0.42234080843627453,0.4213910400867462,0.3031163513660431,77.01258850097656,1.7582624284550548,0.1623542159795761,0.07822682708501816,92.71580505371094,2.3655373733490705
168,168,0.2000362128019333,0.12671920657157898,55.48303985595703,4.339854677207768,0.1940741240978241,0.09635057300329208,104.987548828125,0.41118224058300257,0.14761433005332947,0.05820241570472717,58.46528244018555,1.783544604666531,0.22785575687885284,0.1491905152797699,53.32100296020508,2.2787598222494125
175,175,0.1581456959247589,0.10281871259212494,55.153594970703125,4.344993892125785,0.16114266216754913,0.10829898715019226,60.20518493652344,0.4107679119333625,0.10581332445144653,0.06724552065134048,38.96657943725586,1.8151979614049196,0.23113486170768738,0.1254311054944992,55.93501281738281,2.319732489064336
182,182,0.2592577636241913,0.1654205471277237,56.29726791381836,4.338291067630053,0.40163367986679077,0.2808655798435211,59.85456466674805,0.40903468895703554,0.20272810757160187,0.11380471289157867,45.20968246459961,1.7006380762904882,0.12008755654096603,0.06318863481283188,45.4334831237793,2.30522293318063
189,189,0.5203868746757507,0.3153132498264313,107.08324432373047,4.313427424989641,0.23640088737010956,0.08390206098556519,109.8331069946289,0.4071725634858012,0.12550367414951324,0.043867431581020355,78.65159606933594,1.4868423761799932,0.1603475958108902,0.052935872226953506,93.69396209716797,1.938017625361681
196,196,0.15564773976802826,0.08312562853097916,75.05717468261719,4.383738907985389,0.3094913363456726,0.22065100073814392,64.35953521728516,0.42926083505153656,0.24332349002361298,0.16692204773426056,55.705970764160156,1.873430854640901,0.1531103104352951,0.08933090418577194,39.377315521240234,2.3872496923431754
203,203,0.25871142745018005,0.16891954839229584,66.30362701416016,4.306569281965494,0.23952198028564453,0.16987857222557068,65.7983169555664,0.408172907307744,0.16290974617004395,0.11054440587759018,36.56657409667969,1.8126072902232409,0.2232082337141037,0.12871550023555756,40.352378845214844,2.2801979212090373
210,210,0.205470010638237,0.09315236657857895,46.60686492919922,4.414246102795005,0.2142438292503357,0.14973309636116028,50.99927520751953,0.40611851681023836,0.1291443556547165,0.0689062625169754,77.91596984863281,1.806760050356388,0.14653699100017548,0.06195741519331932,55.79629135131836,2.282462390139699
217,217,0.474883496761322,0.28128352761268616,117.80462646484375,4.32342713791877,0.17082366347312927,0.0869607999920845,96.6026382446289,0.4090054305270314,0.21273212134838104,0.09822187572717667,110.42317199707031,1.7766597662121058,0.0971449762582779,0.03972303494811058,51.662784576416016,2.310371372848749
224,224,0.1899172067642212,0.09979593008756638,85.18449401855469,4.368424069136381,0.1789276897907257,0.08101004362106323,94.21678161621094,0.4071357250213623,0.09270668774843216,0.044245753437280655,75.49652862548828,1.7430838057771325,0.1719014197587967,0.0679893046617508,96.65762329101562,2.3613134417682886
231,231,0.2095014601945877,0.11235509812831879,56.79966735839844,4.349470524117351,0.34475868940353394,0.26653793454170227,48.65471649169922,0.40922699216753244,0.2010076940059662,0.11926419287919998,74.73298645019531,1.7023440916091204,0.22642505168914795,0.07555066049098969,65.13845825195312,2.3282789485529065
238,238,0.2806831896305084,0.17366304993629456,65.44834899902344,4.2366413762792945,0.21552477777004242,0.12343284487724304,70.50787353515625,0.40563067235052586,0.1673068404197693,0.11439541727304459,51.09246826171875,1.7337753484025598,0.08355842530727386,0.04231975972652435,40.4481086730957,2.2267709458246827
245,245,0.13099808990955353,0.07223083078861237,42.417762756347656,4.292419338598847,0.17227180302143097,0.096990205347538,64.77001190185547,0.41231092624366283,0.086768239736557,0.03993377462029457,50.32453155517578,1.815131390467286,0.2163528949022293,0.1275411993265152,56.41279983520508,2.2532516214996576
252,252,0.2599561810493469,0.15728361904621124,66.9743881225586,4.331090332008898,0.16822080314159393,0.07859064638614655,80.27638244628906,0.41368193086236715,0.13224713504314423,0.04497591033577919,63.180870056152344,1.7763911606743932,0.15562804043293,0.05519525706768036,73.6883544921875,2.357631901279092
259,259,0.40547141432762146,0.285763680934906,83.67465209960938,4.440465715713799,0.17931358516216278,0.09996587783098221,92.6437759399414,0.4124136110767722,0.0760035291314125,0.04004914313554764,52.144813537597656,1.7093294793739915,0.21383143961429596,0.13297471404075623,88.73014068603516,2.3439301727339625
