seed,test_idx,RePaint_r10_rmse,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_time,DPS_z0.5_rmse,DPS_z0.5_time,DPS_z0.04_rmse,DPS_z0.04_time,RD_r1_z0.5_rmse,RD_r1_z0.5_time,RD_r1_z0.04_rmse,RD_r1_z0.04_time,DDIM_eta0_rmse,DDIM_eta0_time,DDIM_eta1_rmse,DDIM_eta1_time,DDIM_DPS_e0_z0.5_rmse,DDIM_DPS_e0_z0.5_time,DDIM_DPS_e0_z0.04_rmse,DDIM_DPS_e0_z0.04_time,DDIM_DPS_e1_z0.5_rmse,DDIM_DPS_e1_z0.5_time,DDIM_DPS_e1_z0.04_rmse,DDIM_DPS_e1_z0.04_time
217,217,0.036109209060668945,7.026163489557803,0.15144072473049164,0.7070879368111491,0.14387133717536926,2.583084648475051,0.051179300993680954,2.55765912309289,0.10270126909017563,2.8884899746626616,0.02854982577264309,2.888190400786698,0.18476733565330505,0.6878728559240699,0.14533311128616333,0.6772732017561793,0.20927639305591583,2.0488492930307984,0.04690425470471382,2.076447054743767,0.10322258621454239,2.0196665804833174,0.05631808564066887,2.0684879776090384
224,224,0.03856578469276428,6.747768012806773,0.08639300614595413,0.67960499599576,0.08772943913936615,2.4145202673971653,0.04502490535378456,2.5873488020151854,0.1749122440814972,2.573723887093365,0.09911642968654633,2.5658199107274413,0.16362503170967102,0.7178438985720277,0.08285830914974213,0.6229583928361535,0.16313855350017548,1.9427868174389005,0.07419625669717789,1.9880853649228811,0.10279591381549835,2.0447357650846243,0.04675963148474693,2.0555526399984956
231,231,0.1629495620727539,6.836374053731561,0.21648281812667847,0.6788359135389328,0.23612044751644135,2.469197633676231,0.07217710465192795,2.519332295283675,0.1574339121580124,2.5514815570786595,0.1258714199066162,2.5346512934193015,0.18417593836784363,0.7309651244431734,0.09778439998626709,0.6621542535722256,0.2738679051399231,2.0401823157444596,0.06549055874347687,2.080145478248596,0.19766145944595337,2.0838494962081313,0.07307733595371246,1.9619161933660507
238,238,0.07502720504999161,6.5637488747015595,0.07453567534685135,0.6306819189339876,0.08100530505180359,2.4358103293925524,0.06022090092301369,2.4669288555160165,0.09231443703174591,2.48301163315773,0.04407047480344772,2.391586967743933,0.10142253339290619,0.6904189195483923,0.09811167418956757,0.6200536834076047,0.11131548881530762,1.97934805508703,0.07894416898488998,1.9159649033099413,0.08237466961145401,1.9915726706385612,0.04791940376162529,1.8244412252679467
245,245,0.24327771365642548,6.6293277917429805,0.05025165528059006,0.6371703874319792,0.08548138290643692,2.319010568782687,0.071216881275177,2.370325054973364,0.1448928713798523,2.565448326058686,0.09163334220647812,2.5268859807401896,0.07844381034374237,0.756454941816628,0.10677164047956467,0.644973449409008,0.14633329212665558,1.986019012518227,0.08884534239768982,2.020627139136195,0.1262170374393463,1.9973455434665084,0.06582630425691605,2.0225036665797234
252,252,0.03702114149928093,6.821852743625641,0.1183147206902504,0.6610147031024098,0.12249626219272614,2.4588235607370734,0.06821080297231674,2.5069818878546357,0.1689455658197403,2.635880222544074,0.10447347164154053,2.9408465521410108,0.06365633755922318,0.7456188071519136,0.08756843209266663,0.6673542084172368,0.19196395576000214,2.0787946647033095,0.06614260375499725,2.0783591168001294,0.1634884774684906,2.069148648530245,0.056138794869184494,1.9718630257993937
259,259,0.05500935763120651,6.742649965919554,0.12162857502698898,0.6796606751158834,0.10422638803720474,2.5315458262339234,0.04901411756873131,2.622244988568127,0.32542383670806885,2.565546890720725,0.06659547984600067,2.590302518568933,0.09754762053489685,0.7314919633790851,0.1214032843708992,0.6594142504036427,0.1747720092535019,1.9813010273501277,0.058837343007326126,1.9740159278735518,0.07079000025987625,2.054679968394339,0.060006897896528244,2.051707106642425
266,266,0.09464605897665024,6.4867276744917035,0.061646196991205215,0.6273634564131498,0.08887586742639542,2.4457802176475525,0.044941697269678116,2.566125894896686,0.061032116413116455,2.5803055288270116,0.06059234216809273,2.55183482542634,0.33797815442085266,0.743489314801991,0.1481330394744873,0.6333323363214731,0.10260961949825287,2.0236380584537983,0.047434814274311066,2.0739963771775365,0.08193100988864899,1.9612537072971463,0.040767740458250046,2.006899324245751
273,273,0.08239994198083878,6.79319688398391,0.2947949767112732,0.7057250505313277,0.22910618782043457,2.552570248953998,0.061175212264060974,2.6108918329700828,0.20157752931118011,2.62062397506088,0.04954156279563904,2.620721522718668,0.15305806696414948,0.746035217307508,0.1731654405593872,0.6848107883706689,0.2279721200466156,1.9806255530565977,0.04579419270157814,2.117252964526415,0.19470614194869995,2.0448369728401303,0.0667496994137764,2.1252277875319123
280,280,0.05714520066976547,6.579284864477813,0.03560459986329079,0.6370091671124101,0.060809820890426636,2.4720463193953037,0.03347236290574074,2.5357209518551826,0.044989194720983505,2.583028449676931,0.07439888268709183,2.5386912962421775,0.10679881274700165,0.7427812833338976,0.059836022555828094,0.6181887071579695,0.10727986693382263,2.032094784080982,0.0682162493467331,2.0332140689715743,0.06678994745016098,2.034685842692852,0.0649695172905922,2.123910592868924
287,287,0.0612814836204052,6.494705677032471,0.06497631222009659,0.6520658880472183,0.11408478766679764,2.446484375745058,0.04309573397040367,2.5040284767746925,0.08926966786384583,2.546706223860383,0.039364978671073914,2.5876801712438464,0.08670245856046677,0.7271394245326519,0.1078295186161995,0.6303384881466627,0.20015275478363037,2.0982512598857284,0.048460766673088074,2.066043281927705,0.13255611062049866,1.9926776830106974,0.039689190685749054,1.886838460341096
294,294,0.047388311475515366,6.718715981580317,0.08670522272586823,0.6439489517360926,0.04850083217024803,2.51044132001698,0.045816246420145035,2.4958102367818356,0.19180446863174438,2.5147192692384124,0.08091462403535843,2.5247172228991985,0.1305634081363678,0.7459294321015477,0.05364144220948219,0.6341516608372331,0.14175443351268768,1.9069404331967235,0.08246302604675293,1.9117040820419788,0.158184215426445,1.8163555059581995,0.07945273071527481,1.8979881228879094
301,301,0.15203168988227844,6.587595851160586,0.10704588890075684,0.6376899238675833,0.15357065200805664,2.4705607630312443,0.07092168927192688,2.3612293154001236,0.26460230350494385,2.4415928972885013,0.04655620828270912,2.556063938885927,0.09468938410282135,0.7215661099180579,0.07228149473667145,0.6526345415040851,0.22232447564601898,1.9544103890657425,0.03613267093896866,2.030859563499689,0.19344650208950043,2.0626651057973504,0.03733869269490242,2.013093575835228
