12 Methods  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 100

Method                    Mean RMSE   Std RMSE      Min      Max  Mean Time(s)
---------------------------------------------------------------------------
RePaint r=10                 0.0978     0.0485   0.0226   0.2608          6.74
RePaint r=1                  0.1062     0.0511   0.0353   0.2948          0.65
DPS z=0.5                    0.1221     0.0566   0.0142   0.3304          2.48
DPS z=0.04                   0.0583     0.0256   0.0210   0.1439          2.53
RD r=1 z=0.5                 0.1319     0.0575   0.0205   0.3254          2.58
RD r=1 z=0.04                0.0611     0.0259   0.0208   0.1342          2.59
DDIM eta=0                   0.1241     0.0567   0.0421   0.3380          0.73
DDIM eta=1                   0.1046     0.0462   0.0411   0.3069          0.65
DDIM+DPS e0 z=0.5            0.1725     0.0615   0.0711   0.3909          2.01
DDIM+DPS e0 z=0.04           0.0665     0.0248   0.0195   0.1610          2.00
DDIM+DPS e1 z=0.5            0.1184     0.0561   0.0164   0.3406          2.01
DDIM+DPS e1 z=0.04           0.0569     0.0257   0.0138   0.1637          2.00

Per-seed breakdown:
    Seed   idx  RePaint r=      t  RePaint r=      t   DPS z=0.5      t  DPS z=0.04      t  RD r=1 z=0      t  RD r=1 z=0      t  DDIM eta=0      t  DDIM eta=1      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t
     287   287      0.0613    6.5      0.0650    0.7      0.1141    2.4      0.0431    2.5      0.0893    2.5      0.0394    2.6      0.0867    0.7      0.1078    0.6      0.2002    2.1      0.0485    2.1      0.1326    2.0      0.0397    1.9
     294   294      0.0474    6.7      0.0867    0.6      0.0485    2.5      0.0458    2.5      0.1918    2.5      0.0809    2.5      0.1306    0.7      0.0536    0.6      0.1418    1.9      0.0825    1.9      0.1582    1.8      0.0795    1.9
     301   301      0.1520    6.6      0.1070    0.6      0.1536    2.5      0.0709    2.4      0.2646    2.4      0.0466    2.6      0.0947    0.7      0.0723    0.7      0.2223    2.0      0.0361    2.0      0.1934    2.1      0.0373    2.0
     308   308      0.1081    6.6      0.0789    0.6      0.1531    2.4      0.0366    2.5      0.2155    2.6      0.0717    2.6      0.0567    0.7      0.0568    0.6      0.1791    2.0      0.0627    2.0      0.1283    2.0      0.0323    2.0
     315   315      0.0993    6.8      0.1354    0.6      0.0992    2.5      0.0456    2.5      0.1715    2.5      0.0291    2.6      0.1089    0.7      0.1556    0.7      0.2137    2.0      0.0709    2.0      0.1136    2.0      0.0620    2.0
     322   322      0.0554    6.7      0.0658    0.7      0.1691    2.5      0.0399    2.5      0.1408    2.5      0.0448    2.6      0.1011    0.8      0.1435    0.6      0.1259    2.0      0.0409    2.1      0.0950    2.1      0.0402    2.0
     329   329      0.0693    6.7      0.0978    0.6      0.0527    2.5      0.0438    2.6      0.0476    2.5      0.0405    2.5      0.1086    0.7      0.0880    0.7      0.1459    2.0      0.0890    2.0      0.0568    1.9      0.0471    1.9
     336   336      0.2608    6.7      0.1419    0.6      0.3304    2.5      0.0532    2.5      0.1487    2.5      0.0604    2.6      0.1678    0.7      0.1447    0.6      0.3909    2.0      0.0798    2.0      0.3406    2.0      0.0635    2.0
     343   343      0.1900    6.7      0.0935    0.6      0.0837    2.5      0.0707    2.5      0.0722    2.6      0.0724    2.5      0.1345    0.7      0.2259    0.6      0.2975    2.0      0.0637    2.0      0.1629    2.0      0.0335    2.0
     350   350      0.1215    6.6      0.0622    0.6      0.0747    2.2      0.0533    2.3      0.1344    2.6      0.0559    2.6      0.0961    0.7      0.0696    0.7      0.2280    2.0      0.1044    2.1      0.2001    2.0      0.0563    2.0
