seed,test_idx,UNet_RePaint_r10_rmse,UNet_RePaint_r10_mag_err,UNet_RePaint_r10_angle_err_deg,UNet_RePaint_r10_time,UNet_RePaint_r1_rmse,UNet_RePaint_r1_mag_err,UNet_RePaint_r1_angle_err_deg,UNet_RePaint_r1_time,UNet_DPS_z0.04_rmse,UNet_DPS_z0.04_mag_err,UNet_DPS_z0.04_angle_err_deg,UNet_DPS_z0.04_time,FNO_RePaint_r10_rmse,FNO_RePaint_r10_mag_err,FNO_RePaint_r10_angle_err_deg,FNO_RePaint_r10_time,FNO_RePaint_r1_rmse,FNO_RePaint_r1_mag_err,FNO_RePaint_r1_angle_err_deg,FNO_RePaint_r1_time,FNO_DPS_z0.04_rmse,FNO_DPS_z0.04_mag_err,FNO_DPS_z0.04_angle_err_deg,FNO_DPS_z0.04_time
217,217,0.09171128273010254,0.05127612128853798,24.825592041015625,6.622365302406251,0.16813816130161285,0.07021020352840424,90.62322998046875,0.6289178784936666,0.08543992787599564,0.042428452521562576,31.86798095703125,2.5115419859066606,0.15883615612983704,0.06408931314945221,73.44509887695312,4.519448163919151,0.1614285409450531,0.06046484038233757,95.4248046875,0.4194076918065548,0.08505703508853912,0.038417998701334,48.22171401977539,1.601028528995812
224,224,0.15149743854999542,0.04943288490176201,88.89632415771484,6.638368854299188,0.1934029757976532,0.0912688821554184,90.64910125732422,0.6575528485700488,0.08287539333105087,0.044346898794174194,48.25482177734375,2.2109746746718884,0.18124093115329742,0.07288186252117157,75.03133392333984,4.467787615954876,0.10328113287687302,0.04511278495192528,65.78589630126953,0.42471679858863354,0.08604280650615692,0.03122040443122387,75.71104431152344,1.848515946418047
231,231,0.1840461641550064,0.060519952327013016,42.57617950439453,6.506150376982987,0.22383715212345123,0.13622447848320007,107.28419494628906,0.6321178860962391,0.11190993338823318,0.045463867485523224,22.689157485961914,2.3673901855945587,0.1787959486246109,0.12707649171352386,42.40049743652344,4.467187679372728,0.16564759612083435,0.07702372223138809,49.66796875,0.4120617061853409,0.17508724331855774,0.10735372453927994,50.08843994140625,1.7915465347468853
238,238,0.12841859459877014,0.08392831683158875,34.75734329223633,6.5341209368780255,0.20437312126159668,0.09599633514881134,71.89640808105469,0.6265551308169961,0.08752550184726715,0.04379623755812645,31.0422420501709,2.3372390242293477,0.10840649902820587,0.05718563124537468,41.178016662597656,4.472071081399918,0.10812006145715714,0.06182419881224632,39.59130859375,0.4138978850096464,0.1053459495306015,0.0568816177546978,35.8397331237793,1.7441318221390247
245,245,0.2904055416584015,0.0716385468840599,92.24526977539062,6.567521526478231,0.11590471118688583,0.07231340557336807,48.58345413208008,0.62200269382447,0.07682036608457565,0.043678101152181625,37.14815139770508,2.3973685139790177,0.09553863108158112,0.04813709110021591,43.883544921875,4.450218997895718,0.1786683052778244,0.11108019948005676,46.47785186767578,0.4433144824579358,0.10021699219942093,0.05327608436346054,42.849822998046875,1.7139470363035798
252,252,0.09683773666620255,0.05387316644191742,44.94508361816406,6.551301264204085,0.06415828317403793,0.03983932361006737,32.45676803588867,0.6166956666857004,0.08917368948459625,0.042336463928222656,47.571224212646484,2.3841097159311175,0.12791508436203003,0.06367859244346619,88.75960540771484,4.465486721135676,0.14285750687122345,0.04994172230362892,84.96167755126953,0.42984392028301954,0.12087500840425491,0.05878499895334244,78.77623748779297,1.7246040534228086
259,259,0.14848731458187103,0.08102428168058395,64.08531188964844,6.591983027756214,0.08420553803443909,0.043913427740335464,56.7956657409668,0.6298621697351336,0.061074450612068176,0.022653592750430107,52.40910339355469,2.4436062164604664,0.1376313865184784,0.06838219612836838,78.63451385498047,4.472853163257241,0.19771407544612885,0.12433509528636932,77.36875915527344,0.4137940239161253,0.1090683564543724,0.051737722009420395,77.01903533935547,1.7521976996213198
266,266,0.12332090735435486,0.07773774117231369,35.32132339477539,6.595696732401848,0.07065784931182861,0.049564577639102936,16.860313415527344,0.6242354791611433,0.09151007980108261,0.05598561838269234,32.16679000854492,2.4888305962085724,0.10968026518821716,0.05739269778132439,37.69248962402344,4.380018421448767,0.131423220038414,0.07035385817289352,44.64773941040039,0.4127382570877671,0.08425875008106232,0.04338125139474869,30.08432388305664,1.9659314872696996
273,273,0.24079430103302002,0.15223506093025208,69.70613098144531,6.559254185296595,0.11903970688581467,0.09182006865739822,17.146976470947266,0.6219600271433592,0.06696672737598419,0.04785052314400673,15.346667289733887,2.393808413296938,0.10225360095500946,0.059261154383420944,20.588176727294922,4.493256523273885,0.12095233798027039,0.053273748606443405,33.91987228393555,0.41401321068406105,0.1735280454158783,0.09831317514181137,39.14047622680664,1.7997392481192946
280,280,0.0774548202753067,0.05574900656938553,28.187387466430664,6.4874663054943085,0.09366350620985031,0.06434889882802963,32.97554397583008,0.6248786235228181,0.06502936035394669,0.033095069229602814,26.863279342651367,2.3677897974848747,0.1527729630470276,0.08362406492233276,68.45227813720703,4.465857927687466,0.23652423918247223,0.17744265496730804,44.27553939819336,0.41249637864530087,0.08490490913391113,0.04721389710903168,42.276939392089844,1.8152868542820215
