seed,test_idx,RePaint_r=10_rmse,RePaint_r=10_time,RePaint_r=1_rmse,RePaint_r=1_time,DPS_z=0.5_rmse,DPS_z=0.5_time,DPS_z=0.04_rmse,DPS_z=0.04_time,RD_r=1_z=0.5_rmse,RD_r=1_z=0.5_time,RD_r=1_z=0.04_rmse,RD_r=1_z=0.04_time
462,462,0.05571369454264641,8.551193266990595,0.13215194642543793,0.8332950210024137,0.11643566191196442,3.175279093993595,0.0579516626894474,3.111851638997905,0.2029813826084137,3.1285023289965466,0.05381084233522415,3.1199812370177824
469,469,0.11067593097686768,8.160168319998775,0.17241020500659943,0.7795552379975561,0.18911203742027283,2.869721343013225,0.1399323046207428,3.0258148930151947,0.26391640305519104,3.1661768420017324,0.10516560822725296,2.99816915098927
476,476,0.09555502980947495,8.655022068007383,0.11249155551195145,0.8202567249827553,0.11065111309289932,2.833438183995895,0.030853653326630592,3.0691481920075603,0.08162365108728409,3.079869237000821,0.11523398011922836,3.075141673005419
483,483,0.0940016582608223,8.40883406001376,0.13808573782444,0.8191726389923133,0.10588860511779785,3.0599772139976267,0.09102056175470352,3.112257975008106,0.11937638372182846,3.1138193939987104,0.04593389108777046,3.0282973329885863
490,490,0.0825829952955246,8.446690403012326,0.1581139713525772,0.8356756610155571,0.14921069145202637,3.0292538039793726,0.06250055879354477,3.0284157489950303,0.17389993369579315,3.2058015640068334,0.07631714642047882,3.0769488110090606
497,497,0.06703467667102814,8.18936895497609,0.10765782743692398,0.7880647919955663,0.19695983827114105,2.801556611986598,0.09719259291887283,3.051396830007434,0.23051871359348297,3.1071199940051883,0.12213224917650223,2.9342805049964227
504,504,0.11931677162647247,7.921133794996422,0.0857732966542244,0.7779071269906126,0.1696493774652481,2.995073511992814,0.06406671553850174,3.0454710939957295,0.16728229820728302,3.0930331790004857,0.04500845447182655,3.14979670100729
511,511,0.07526439428329468,7.850654704001499,0.1249658390879631,0.7915137250092812,0.22431132197380066,2.99395517600351,0.04918481409549713,3.051017747988226,0.16487611830234528,3.102408614999149,0.06055675819516182,3.0826077699894086
518,518,0.07873105257749557,8.003437778999796,0.17076289653778076,0.7751549030072056,0.18598173558712006,3.074488348996965,0.04296451061964035,3.092204121989198,0.19212706387043,3.1585580369865056,0.03321037068963051,3.097330909979064
525,525,0.10398576408624649,7.928482712013647,0.059439606964588165,0.7775767040147912,0.12207822501659393,3.027680658007739,0.03493557125329971,3.055772355000954,0.07224573194980621,3.0979139789997134,0.032777439802885056,3.1086633160011843
532,532,0.10114846378564835,7.937012734008022,0.08411835879087448,0.767857366008684,0.1595955491065979,2.6440569869882893,0.07784607261419296,2.5818940559984185,0.15916568040847778,2.9740542600047775,0.04752068594098091,3.19353747999412
539,539,0.07945112884044647,8.49329292200855,0.3083665668964386,0.8272230550064705,0.20354261994361877,3.0272160599997733,0.047453250735998154,3.08982746701804,0.24174901843070984,2.8953359219885897,0.04507306590676308,2.455004924995592
546,546,0.10643643885850906,8.436418723023962,0.13076740503311157,0.87830047798343,0.12994110584259033,3.055907431989908,0.05326482653617859,3.093612505006604,0.2629748582839966,3.1185438070097007,0.04953843727707863,3.133449869987089
553,553,0.13366098701953888,7.933463870023843,0.146743044257164,0.7750503759889398,0.07898088544607162,3.0645501549879555,0.0783311203122139,3.090327460988192,0.11551357805728912,3.1533593750209548,0.08321551978588104,3.142450977989938
560,560,0.0665561705827713,8.513277177000418,0.09607913345098495,0.7873169830127154,0.1480693519115448,2.992542712017894,0.05987361818552017,3.0473940900119487,0.14217044413089752,3.348386116005713,0.07287713140249252,3.130074035987491
567,567,0.09032708406448364,8.21779595699627,0.14546872675418854,0.8848646529950202,0.2589779794216156,3.086556483001914,0.06868574023246765,3.040643144020578,0.154710054397583,3.2143365920055658,0.05169655382633209,3.079772911994951
574,574,0.16909924149513245,7.98960079299286,0.12425554543733597,0.7803796160151251,0.10623043030500412,3.078457902010996,0.048549190163612366,3.2354941840167157,0.10611552745103836,2.7429802530095913,0.03953586146235466,3.2695415439957287
581,581,0.1711599975824356,8.917231252999045,0.19174769520759583,0.9408200759789906,0.0880662277340889,3.2394025579851586,0.08270886540412903,3.183661882998422,0.09296321123838425,2.390050493006129,0.09837102144956589,3.225965280988021
588,588,0.10044777393341064,8.326273509010207,0.0675666555762291,0.8187789240037091,0.08327043056488037,4.1974141460086685,0.062380384653806686,3.158592612016946,0.0995120108127594,3.0636156180116814,0.0754438117146492,3.2271391449903604
595,595,0.1258312314748764,8.08770879500662,0.1702619343996048,0.7709355489932932,0.07514442503452301,3.0446085119911004,0.04678743705153465,3.061605825991137,0.18229609727859497,3.197191184008261,0.07461551576852798,3.1109700139786582
