epoch,timestamp_utc,train_loss,val_loss
143,2026-06-11T19:22:43.503793+00:00,0.0041031678,0.0042039133
144,2026-06-11T19:23:52.866151+00:00,0.0037525343,0.0051066940
145,2026-06-11T19:25:02.098789+00:00,0.0041595392,0.0045432552
146,2026-06-11T19:26:11.342450+00:00,0.0039177460,0.0048537426
147,2026-06-11T19:27:20.495477+00:00,0.0039007336,0.0043132840
148,2026-06-11T19:28:29.715380+00:00,0.0039981515,0.0041501750
149,2026-06-11T19:29:39.222858+00:00,0.0039327050,0.0047890981
150,2026-06-11T19:30:48.712586+00:00,0.0039551976,0.0041882481
151,2026-06-11T19:31:58.124261+00:00,0.0042157497,0.0041289953
152,2026-06-11T19:33:07.405889+00:00,0.0039215326,0.0043200936
153,2026-06-11T19:34:16.641306+00:00,0.0038773225,0.0041147273
154,2026-06-11T19:35:25.942642+00:00,0.0038633838,0.0041195172
155,2026-06-11T19:36:35.131159+00:00,0.0038603522,0.0043387064
156,2026-06-11T19:37:44.446438+00:00,0.0038102048,0.0041248432
157,2026-06-11T19:38:53.690373+00:00,0.0042205786,0.0041437444
158,2026-06-11T19:40:02.899877+00:00,0.0040497762,0.0049514234
159,2026-06-11T19:41:12.181174+00:00,0.0038904268,0.0042036644
160,2026-06-11T19:42:21.424839+00:00,0.0039518559,0.0048289045
161,2026-06-11T19:43:30.710118+00:00,0.0038810301,0.0041375508
162,2026-06-11T19:44:39.883336+00:00,0.0039084262,0.0044427868
163,2026-06-11T19:45:49.088805+00:00,0.0038677404,0.0048999967
164,2026-06-11T19:46:58.414960+00:00,0.0039668371,0.0047389537
165,2026-06-11T19:48:07.653455+00:00,0.0039412290,0.0038996619
166,2026-06-11T19:49:16.940343+00:00,0.0036508315,0.0042724206
167,2026-06-11T19:50:26.211354+00:00,0.0036691577,0.0049908242
168,2026-06-11T19:51:35.410698+00:00,0.0039271891,0.0045236600
169,2026-06-11T19:52:44.712412+00:00,0.0040315638,0.0045593930
170,2026-06-11T19:53:53.934661+00:00,0.0038671770,0.0046317569
171,2026-06-11T19:55:03.340204+00:00,0.0038179487,0.0042951902
172,2026-06-11T19:56:12.566593+00:00,0.0040790166,0.0040283562
173,2026-06-11T19:57:21.852021+00:00,0.0039491022,0.0040412860
174,2026-06-11T19:58:31.294178+00:00,0.0038026839,0.0046088025
175,2026-06-11T19:59:40.897384+00:00,0.0037285064,0.0045700557
176,2026-06-11T20:00:50.245687+00:00,0.0041534348,0.0048025200
177,2026-06-11T20:01:59.494927+00:00,0.0038290523,0.0042083193
178,2026-06-11T20:03:08.775017+00:00,0.0038807715,0.0051503608
179,2026-06-11T20:04:18.011700+00:00,0.0036217317,0.0042157102
180,2026-06-11T20:05:27.271911+00:00,0.0037666350,0.0043334456
181,2026-06-11T20:06:36.591367+00:00,0.0039801966,0.0043689829
182,2026-06-11T20:07:45.875638+00:00,0.0035792030,0.0046734870
183,2026-06-11T20:08:55.093985+00:00,0.0035798221,0.0043949133
184,2026-06-11T20:10:04.339616+00:00,0.0038183173,0.0047668755
185,2026-06-11T20:11:13.885513+00:00,0.0039914766,0.0050015639
186,2026-06-11T20:12:23.412113+00:00,0.0035829786,0.0047470282
187,2026-06-11T20:13:32.642359+00:00,0.0037280804,0.0047769840
188,2026-06-11T20:14:41.931170+00:00,0.0037386199,0.0041866556
189,2026-06-11T20:15:51.256281+00:00,0.0037160655,0.0050362567
190,2026-06-11T20:17:00.468060+00:00,0.0035885858,0.0047714153
191,2026-06-11T20:18:09.758936+00:00,0.0036168832,0.0041562235
192,2026-06-11T20:19:18.976749+00:00,0.0037283069,0.0046776427
193,2026-06-11T20:20:28.209168+00:00,0.0038189417,0.0043233327
194,2026-06-11T20:21:37.465729+00:00,0.0035597083,0.0045156733
195,2026-06-11T20:22:46.603974+00:00,0.0037590065,0.0044301838
196,2026-06-11T20:23:56.014282+00:00,0.0036711305,0.0045229161
197,2026-06-11T20:25:05.335549+00:00,0.0038013906,0.0044373291
198,2026-06-11T20:26:14.719242+00:00,0.0035913398,0.0048269615
199,2026-06-11T20:27:23.995494+00:00,0.0035867273,0.0043932829
200,2026-06-11T20:28:33.193777+00:00,0.0036118013,0.0041577683
201,2026-06-11T20:29:42.947938+00:00,0.0036801927,0.0040763358
202,2026-06-11T20:30:52.243630+00:00,0.0035758337,0.0044765664
203,2026-06-11T20:32:01.518511+00:00,0.0037633217,0.0050387595
204,2026-06-11T20:33:10.790153+00:00,0.0036189825,0.0050262775
205,2026-06-11T20:34:20.018142+00:00,0.0037386830,0.0045415754
206,2026-06-11T20:35:29.266706+00:00,0.0035439099,0.0043080347
207,2026-06-11T20:36:38.532358+00:00,0.0035866368,0.0043552171
208,2026-06-11T20:37:47.724492+00:00,0.0036627483,0.0043113533
209,2026-06-11T20:38:57.025653+00:00,0.0037688361,0.0044984663
210,2026-06-11T20:40:06.198228+00:00,0.0034126093,0.0044940643
211,2026-06-11T20:41:15.517608+00:00,0.0036819795,0.0045070607
212,2026-06-11T20:42:24.786057+00:00,0.0036395056,0.0040891304
213,2026-06-11T20:43:34.092747+00:00,0.0035700367,0.0042717438
214,2026-06-11T20:44:43.419734+00:00,0.0035370766,0.0045178572
215,2026-06-11T20:45:52.633596+00:00,0.0034608293,0.0041789641
216,2026-06-11T20:47:01.927080+00:00,0.0036388253,0.0045562239
217,2026-06-11T20:48:11.198127+00:00,0.0036632793,0.0048427914
218,2026-06-11T20:49:20.408063+00:00,0.0035689842,0.0045478970
219,2026-06-11T20:50:29.660746+00:00,0.0036741980,0.0046714367
220,2026-06-11T20:51:38.893769+00:00,0.0035694830,0.0045079967
221,2026-06-11T20:52:48.236535+00:00,0.0035895412,0.0041709636
222,2026-06-11T20:53:57.499522+00:00,0.0036671900,0.0043522872
223,2026-06-11T20:55:06.739673+00:00,0.0035933001,0.0047600040
224,2026-06-11T20:56:15.946642+00:00,0.0035464450,0.0047952157
225,2026-06-11T20:57:25.117813+00:00,0.0035488385,0.0042044996
226,2026-06-11T20:58:34.452502+00:00,0.0035965156,0.0044715172
227,2026-06-11T20:59:43.741373+00:00,0.0034181261,0.0041737389
228,2026-06-11T21:00:53.019602+00:00,0.0034563367,0.0047125395
229,2026-06-11T21:02:02.368672+00:00,0.0031679175,0.0047251213
230,2026-06-11T21:03:11.620916+00:00,0.0035689909,0.0046179602
231,2026-06-11T21:04:20.937934+00:00,0.0034452207,0.0045689984
232,2026-06-11T21:05:30.220733+00:00,0.0035178423,0.0044605975
233,2026-06-11T21:06:39.488255+00:00,0.0035296443,0.0056248269
234,2026-06-11T21:07:48.838830+00:00,0.0035619551,0.0043614436
235,2026-06-11T21:08:58.132856+00:00,0.0034899445,0.0049044375
236,2026-06-11T21:10:07.442544+00:00,0.0034013206,0.0046312823
237,2026-06-11T21:11:16.706325+00:00,0.0034798388,0.0042708854
238,2026-06-11T21:12:25.921220+00:00,0.0033620204,0.0041202432
239,2026-06-11T21:13:35.226521+00:00,0.0035360058,0.0046284099
240,2026-06-11T21:14:44.559084+00:00,0.0035136902,0.0047831580
241,2026-06-11T21:15:53.901454+00:00,0.0033368486,0.0047409400
242,2026-06-11T21:17:03.114304+00:00,0.0033482503,0.0046918622
243,2026-06-11T21:18:12.361485+00:00,0.0035005680,0.0041538960
244,2026-06-11T21:19:21.690200+00:00,0.0033212311,0.0045178504
245,2026-06-11T21:20:30.962945+00:00,0.0033705473,0.0047521199
246,2026-06-11T21:21:40.252503+00:00,0.0033266299,0.0049625382
247,2026-06-11T21:22:49.524792+00:00,0.0033000305,0.0048727162
248,2026-06-11T21:23:58.796665+00:00,0.0032508748,0.0050106976
249,2026-06-11T21:25:08.215937+00:00,0.0035022301,0.0042190648
250,2026-06-11T21:26:17.634053+00:00,0.0034661246,0.0050710500
251,2026-06-11T21:27:27.141981+00:00,0.0035495102,0.0045068696
252,2026-06-11T21:28:36.670628+00:00,0.0035742603,0.0042925045
253,2026-06-11T21:29:46.125917+00:00,0.0034300937,0.0052843466
254,2026-06-11T21:30:55.581750+00:00,0.0033796474,0.0048737335
255,2026-06-11T21:32:04.734596+00:00,0.0033619264,0.0045896715
256,2026-06-11T21:33:13.929730+00:00,0.0035821195,0.0048937045
257,2026-06-11T21:34:23.152064+00:00,0.0035163610,0.0054391664
258,2026-06-11T21:35:32.419381+00:00,0.0030923261,0.0054107283
259,2026-06-11T21:36:41.708043+00:00,0.0035682039,0.0049316997
260,2026-06-11T21:37:50.987730+00:00,0.0033681513,0.0042692115
261,2026-06-11T21:39:00.268179+00:00,0.0032616216,0.0050777906
262,2026-06-11T21:40:09.543866+00:00,0.0032766247,0.0045660981
263,2026-06-11T21:41:18.789280+00:00,0.0031461538,0.0051518630
264,2026-06-11T21:42:28.124713+00:00,0.0031451310,0.0047928201
265,2026-06-11T21:43:37.362953+00:00,0.0032571023,0.0046980838
266,2026-06-11T21:44:46.625366+00:00,0.0031599729,0.0047799790
267,2026-06-11T21:45:55.824752+00:00,0.0033451868,0.0048829231
268,2026-06-11T21:47:05.108724+00:00,0.0032498476,0.0051593085
269,2026-06-11T21:48:14.389222+00:00,0.0034465311,0.0049434226
270,2026-06-11T21:49:23.652673+00:00,0.0031646658,0.0040699727
271,2026-06-11T21:50:32.842819+00:00,0.0032793251,0.0049047809
272,2026-06-11T21:51:42.133117+00:00,0.0035898919,0.0050308148
273,2026-06-11T21:52:51.374256+00:00,0.0030911211,0.0049619426
