seed,test_idx,RePaint_r10_mag_err,RePaint_r10_angle_err_deg,RePaint_r10_time,RePaint_r1_mag_err,RePaint_r1_angle_err_deg,RePaint_r1_time,DPS_z0.04_mag_err,DPS_z0.04_angle_err_deg,DPS_z0.04_time
266,266,0.09963200986385345,45.75141525268555,6.434310498647392,0.06803853809833527,70.58637237548828,0.6173874652013183,0.0646878108382225,39.26077651977539,2.2898927070200443
273,273,0.07491426169872284,15.980605125427246,6.366113266907632,0.14841915667057037,33.0306396484375,0.6024940358474851,0.028191639110445976,16.147308349609375,2.3157126577571034
280,280,0.07925384491682053,50.17921829223633,6.3124459171667695,0.045237213373184204,38.12177658081055,0.6312347445636988,0.06018034741282463,33.963985443115234,2.294481827877462
287,287,0.05769145116209984,58.94004821777344,6.3026217902079225,0.05245424434542656,69.45673370361328,0.5991617925465107,0.024746576324105263,33.16663360595703,2.2575252763926983
294,294,0.031172731891274452,18.353702545166016,6.28547131549567,0.054712094366550446,20.844919204711914,0.5936234733089805,0.09128524363040924,59.09178924560547,2.1161584528163075
301,301,0.04168171435594559,36.253353118896484,6.297615496441722,0.033220842480659485,46.140037536621094,0.6050135958939791,0.03099643439054489,18.992069244384766,2.3367087179794908
308,308,0.1640135645866394,99.25052642822266,6.226406801491976,0.08050472289323807,46.06365203857422,0.600136854685843,0.03815481439232826,26.143461227416992,2.268149775452912
315,315,0.030150583013892174,11.205426216125488,6.252952408976853,0.06389429420232773,21.84295654296875,0.6133297020569444,0.030627354979515076,20.920324325561523,2.2656580517068505
322,322,0.09151783585548401,35.84012985229492,6.356663511134684,0.07515236735343933,41.86015701293945,0.6003982024267316,0.06049805507063866,41.46458435058594,2.2828011149540544
329,329,0.06378024071455002,44.0273323059082,6.362400664947927,0.10315427929162979,32.39593505859375,0.5998377436771989,0.037341635674238205,27.175954818725586,2.3211826933547854
336,336,0.10373957455158234,86.38146209716797,6.349081289023161,0.06532689929008484,85.12798309326172,0.6241164226084948,0.0322197824716568,37.25741958618164,2.2914602756500244
343,343,0.04953900724649429,115.2502670288086,6.17763636354357,0.040395256131887436,113.71278381347656,0.5882489997893572,0.06322439014911652,31.028162002563477,2.253548408858478
